;mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_criterion;param_max_depth;param_max_features;param_n_estimators;params;split0_test_score;split1_test_score;split2_test_score;split3_test_score;split4_test_score;split5_test_score;split6_test_score;split7_test_score;split8_test_score;split9_test_score;split10_test_score;split11_test_score;split12_test_score;split13_test_score;split14_test_score;split15_test_score;split16_test_score;split17_test_score;split18_test_score;split19_test_score;split20_test_score;split21_test_score;split22_test_score;split23_test_score;split24_test_score;mean_test_score;std_test_score;rank_test_score
19;14.266.089.134.216.300;10.965.741.349.978.700;0.2791575241088867;0.026369666403093003;gini;20;sqrt;1000;{'criterion': 'gini', 'max_depth': 20, 'max_features': 'sqrt', 'n_estimators': 1000};0.5964467005076142;0.616751269035533;0.6243654822335025;0.631979695431472;0.6269035532994924;0.5862944162436549;0.5761421319796954;0.5964467005076142;0.6294416243654822;0.6091370558375635;0.5913705583756346;0.6395939086294417;0.6091370558375635;0.628498727735369;0.6361323155216285;0.6030534351145038;0.5725190839694656;0.6259541984732825;0.6310432569974554;0.6055979643765903;0.5954198473282443;0.6157760814249363;0.6310432569974554;0.638676844783715;0.6361323155216285;0.6141542992211415;0.019653268304463165;9
23;1.258.197.780.609.130;0.2626211016843253;0.2371373653411865;0.017859866539089348;gini;20;log2;1000;{'criterion': 'gini', 'max_depth': 20, 'max_features': 'log2', 'n_estimators': 1000};0.5964467005076142;0.616751269035533;0.6243654822335025;0.631979695431472;0.6269035532994924;0.5862944162436549;0.5761421319796954;0.5964467005076142;0.6294416243654822;0.6091370558375635;0.5913705583756346;0.6395939086294417;0.6091370558375635;0.628498727735369;0.6361323155216285;0.6030534351145038;0.5725190839694656;0.6259541984732825;0.6310432569974554;0.6055979643765903;0.5954198473282443;0.6157760814249363;0.6310432569974554;0.638676844783715;0.6361323155216285;0.6141542992211415;0.019653268304463165;9
25;3.109.335.174.560.540;0.06715633059087409;0.057995052337646485;0.007158545411545169;gini;30;sqrt;250;{'criterion': 'gini', 'max_depth': 30, 'max_features': 'sqrt', 'n_estimators': 250};0.6091370558375635;0.6192893401015228;0.6192893401015228;0.6446700507614214;0.616751269035533;0.5888324873096447;0.5913705583756346;0.583756345177665;0.6573604060913706;0.6015228426395939;0.583756345177665;0.6294416243654822;0.6040609137055838;0.6030534351145038;0.6055979643765903;0.6234096692111959;0.6030534351145038;0.6183206106870229;0.6259541984732825;0.5928753180661578;0.5954198473282443;0.5928753180661578;0.6590330788804071;0.6310432569974554;0.6539440203562341;0.6141527492540785;0.021988351417300538;13
29;3.081.078.777.313.230;0.03798594590520497;0.05787922859191894;0.006443586159044332;gini;30;log2;250;{'criterion': 'gini', 'max_depth': 30, 'max_features': 'log2', 'n_estimators': 250};0.6091370558375635;0.6192893401015228;0.6192893401015228;0.6446700507614214;0.616751269035533;0.5888324873096447;0.5913705583756346;0.583756345177665;0.6573604060913706;0.6015228426395939;0.583756345177665;0.6294416243654822;0.6040609137055838;0.6030534351145038;0.6055979643765903;0.6234096692111959;0.6030534351145038;0.6183206106870229;0.6259541984732825;0.5928753180661578;0.5954198473282443;0.5928753180661578;0.6590330788804071;0.6310432569974554;0.6539440203562341;0.6141527492540785;0.021988351417300538;13
59;14.923.532.848.358.100;0.2243315036372573;0.23839378356933594;0.01800505708124132;entropy;30;sqrt;1000;{'criterion': 'entropy', 'max_depth': 30, 'max_features': 'sqrt', 'n_estimators': 1000};0.6015228426395939;0.6091370558375635;0.6345177664974619;0.6421319796954315;0.6269035532994924;0.5964467005076142;0.5939086294416244;0.5913705583756346;0.6472081218274112;0.6065989847715736;0.5786802030456852;0.631979695431472;0.6065989847715736;0.6106870229007634;0.6157760814249363;0.6132315521628499;0.5852417302798982;0.638676844783715;0.6183206106870229;0.6030534351145038;0.6055979643765903;0.5979643765903307;0.6412213740458015;0.6030534351145038;0.6463104325699746;0.6138455974477208;0.01937659504209363;15
63;15.001.654.605.865.400;0.911425925078443;0.25103298187255857;0.04918494490265792;entropy;30;log2;1000;{'criterion': 'entropy', 'max_depth': 30, 'max_features': 'log2', 'n_estimators': 1000};0.6015228426395939;0.6091370558375635;0.6345177664974619;0.6421319796954315;0.6269035532994924;0.5964467005076142;0.5939086294416244;0.5913705583756346;0.6472081218274112;0.6065989847715736;0.5786802030456852;0.631979695431472;0.6065989847715736;0.6106870229007634;0.6157760814249363;0.6132315521628499;0.5852417302798982;0.638676844783715;0.6183206106870229;0.6030534351145038;0.6055979643765903;0.5979643765903307;0.6412213740458015;0.6030534351145038;0.6463104325699746;0.6138455974477208;0.01937659504209363;15
42;747.089.732.170.105;0.6170757768355318;0.12077945709228516;0.016854814049318195;entropy;20;sqrt;500;{'criterion': 'entropy', 'max_depth': 20, 'max_features': 'sqrt', 'n_estimators': 500};0.5989847715736041;0.6142131979695431;0.616751269035533;0.6421319796954315;0.6370558375634517;0.5913705583756346;0.5786802030456852;0.6040609137055838;0.6573604060913706;0.6065989847715736;0.6091370558375635;0.6421319796954315;0.5989847715736041;0.6183206106870229;0.6234096692111959;0.5877862595419847;0.5928753180661578;0.6361323155216285;0.6030534351145038;0.5979643765903307;0.5852417302798982;0.5954198473282443;0.638676844783715;0.6234096692111959;0.6437659033078881;0.613740716343111;0.02121446423042619;17
46;8.184.245.338.439.940;13.375.079.134.712.600;0.12900025367736817;0.027837355520246278;entropy;20;log2;500;{'criterion': 'entropy', 'max_depth': 20, 'max_features': 'log2', 'n_estimators': 500};0.5989847715736041;0.6142131979695431;0.616751269035533;0.6421319796954315;0.6370558375634517;0.5913705583756346;0.5786802030456852;0.6040609137055838;0.6573604060913706;0.6065989847715736;0.6091370558375635;0.6421319796954315;0.5989847715736041;0.6183206106870229;0.6234096692111959;0.5877862595419847;0.5928753180661578;0.6361323155216285;0.6030534351145038;0.5979643765903307;0.5852417302798982;0.5954198473282443;0.638676844783715;0.6234096692111959;0.6437659033078881;0.613740716343111;0.02121446423042619;17
50;7.802.356.481.552.120;0.3794429537401001;0.14162250518798827;0.05267760038000199;entropy;20;sqrt;500;{'criterion': 'entropy', 'max_depth': 20, 'max_features': 'sqrt', 'n_estimators': 500};0.5989847715736041;0.6142131979695431;0.616751269035533;0.6421319796954315;0.6370558375634517;0.5913705583756346;0.5786802030456852;0.6040609137055838;0.6573604060913706;0.6065989847715736;0.6091370558375635;0.6421319796954315;0.5989847715736041;0.6183206106870229;0.6234096692111959;0.5877862595419847;0.5928753180661578;0.6361323155216285;0.6030534351145038;0.5979643765903307;0.5852417302798982;0.5954198473282443;0.638676844783715;0.6234096692111959;0.6437659033078881;0.613740716343111;0.02121446423042619;17
54;13.097.845.020.294.100;4.007.997.336.929.270;0.23909310340881348;0.11346826393470714;entropy;20;log2;500;{'criterion': 'entropy', 'max_depth': 20, 'max_features': 'log2', 'n_estimators': 500};0.5989847715736041;0.6142131979695431;0.616751269035533;0.6421319796954315;0.6370558375634517;0.5913705583756346;0.5786802030456852;0.6040609137055838;0.6573604060913706;0.6065989847715736;0.6091370558375635;0.6421319796954315;0.5989847715736041;0.6183206106870229;0.6234096692111959;0.5877862595419847;0.5928753180661578;0.6361323155216285;0.6030534351145038;0.5979643765903307;0.5852417302798982;0.5954198473282443;0.638676844783715;0.6234096692111959;0.6437659033078881;0.613740716343111;0.02121446423042619;17
58;7.324.821.195.602.410;0.11720777914559048;0.123115234375;0.012823295630412335;entropy;30;sqrt;500;{'criterion': 'entropy', 'max_depth': 30, 'max_features': 'sqrt', 'n_estimators': 500};0.5964467005076142;0.6142131979695431;0.6243654822335025;0.6395939086294417;0.6446700507614214;0.6142131979695431;0.5989847715736041;0.6065989847715736;0.6421319796954315;0.5989847715736041;0.5964467005076142;0.6192893401015228;0.5964467005076142;0.6081424936386769;0.6106870229007634;0.628498727735369;0.5699745547073791;0.6132315521628499;0.6183206106870229;0.6055979643765903;0.5826972010178118;0.6005089058524173;0.6463104325699746;0.6106870229007634;0.6513994910941476;0.6135376706578319;0.019845854312018654;21
62;7.307.863.092.422.480;0.10114304765235149;0.11987957000732422;0.011578378176341567;entropy;30;log2;500;{'criterion': 'entropy', 'max_depth': 30, 'max_features': 'log2', 'n_estimators': 500};0.5964467005076142;0.6142131979695431;0.6243654822335025;0.6395939086294417;0.6446700507614214;0.6142131979695431;0.5989847715736041;0.6065989847715736;0.6421319796954315;0.5989847715736041;0.5964467005076142;0.6192893401015228;0.5964467005076142;0.6081424936386769;0.6106870229007634;0.628498727735369;0.5699745547073791;0.6132315521628499;0.6183206106870229;0.6055979643765903;0.5826972010178118;0.6005089058524173;0.6463104325699746;0.6106870229007634;0.6513994910941476;0.6135376706578319;0.019845854312018654;21
10;6.788.536.081.314.080;0.7031190784391095;0.12997591972351075;0.016922456794332835;gini;20;sqrt;500;{'criterion': 'gini', 'max_depth': 20, 'max_features': 'sqrt', 'n_estimators': 500};0.5939086294416244;0.6116751269035533;0.6269035532994924;0.6370558375634517;0.6269035532994924;0.5939086294416244;0.5862944162436549;0.5964467005076142;0.6421319796954315;0.5939086294416244;0.5913705583756346;0.6294416243654822;0.5939086294416244;0.6157760814249363;0.6335877862595419;0.6030534351145038;0.5801526717557252;0.6183206106870229;0.6157760814249363;0.6132315521628499;0.5877862595419847;0.6132315521628499;0.648854961832061;0.638676844783715;0.6310432569974554;0.6129339584867156;0.019545473889318314;23
14;6.733.619.375.228.880;0.5507339731097829;0.1394863986968994;0.028685480599845176;gini;20;log2;500;{'criterion': 'gini', 'max_depth': 20, 'max_features': 'log2', 'n_estimators': 500};0.5939086294416244;0.6116751269035533;0.6269035532994924;0.6370558375634517;0.6269035532994924;0.5939086294416244;0.5862944162436549;0.5964467005076142;0.6421319796954315;0.5939086294416244;0.5913705583756346;0.6294416243654822;0.5939086294416244;0.6157760814249363;0.6335877862595419;0.6030534351145038;0.5801526717557252;0.6183206106870229;0.6157760814249363;0.6132315521628499;0.5877862595419847;0.6132315521628499;0.648854961832061;0.638676844783715;0.6310432569974554;0.6129339584867156;0.019545473889318314;23
18;62.688.133.239.746.000;0.13058898424348533;0.12135871887207031;0.02682425367495654;gini;20;sqrt;500;{'criterion': 'gini', 'max_depth': 20, 'max_features': 'sqrt', 'n_estimators': 500};0.5939086294416244;0.6116751269035533;0.6269035532994924;0.6370558375634517;0.6269035532994924;0.5939086294416244;0.5862944162436549;0.5964467005076142;0.6421319796954315;0.5939086294416244;0.5913705583756346;0.6294416243654822;0.5939086294416244;0.6157760814249363;0.6335877862595419;0.6030534351145038;0.5801526717557252;0.6183206106870229;0.6157760814249363;0.6132315521628499;0.5877862595419847;0.6132315521628499;0.648854961832061;0.638676844783715;0.6310432569974554;0.6129339584867156;0.019545473889318314;23
22;6.255.721.387.863.150;0.10046319078866052;0.12090224266052246;0.011231866771778138;gini;20;log2;500;{'criterion': 'gini', 'max_depth': 20, 'max_features': 'log2', 'n_estimators': 500};0.5939086294416244;0.6116751269035533;0.6269035532994924;0.6370558375634517;0.6269035532994924;0.5939086294416244;0.5862944162436549;0.5964467005076142;0.6421319796954315;0.5939086294416244;0.5913705583756346;0.6294416243654822;0.5939086294416244;0.6157760814249363;0.6335877862595419;0.6030534351145038;0.5801526717557252;0.6183206106870229;0.6157760814249363;0.6132315521628499;0.5877862595419847;0.6132315521628499;0.648854961832061;0.638676844783715;0.6310432569974554;0.6129339584867156;0.019545473889318314;23
27;12.794.876.546.859.700;0.2026188663504754;0.2456193161010742;0.031509144733276595;gini;30;sqrt;1000;{'criterion': 'gini', 'max_depth': 30, 'max_features': 'sqrt', 'n_estimators': 1000};0.6116751269035533;0.6192893401015228;0.6192893401015228;0.6395939086294417;0.6345177664974619;0.6116751269035533;0.5812182741116751;0.5786802030456852;0.649746192893401;0.5989847715736041;0.5913705583756346;0.631979695431472;0.6065989847715736;0.6132315521628499;0.6208651399491094;0.6183206106870229;0.5877862595419847;0.6259541984732825;0.6106870229007634;0.5979643765903307;0.5852417302798982;0.6081424936386769;0.628498727735369;0.6234096692111959;0.6234096692111959;0.6127252295888712;0.01814485277406447;27
31;1.271.088.225.364.680;0.4725820576360631;0.24945155143737793;0.03749431197036939;gini;30;log2;1000;{'criterion': 'gini', 'max_depth': 30, 'max_features': 'log2', 'n_estimators': 1000};0.6116751269035533;0.6192893401015228;0.6192893401015228;0.6395939086294417;0.6345177664974619;0.6116751269035533;0.5812182741116751;0.5786802030456852;0.649746192893401;0.5989847715736041;0.5913705583756346;0.631979695431472;0.6065989847715736;0.6132315521628499;0.6208651399491094;0.6183206106870229;0.5877862595419847;0.6259541984732825;0.6106870229007634;0.5979643765903307;0.5852417302798982;0.6081424936386769;0.628498727735369;0.6234096692111959;0.6234096692111959;0.6127252295888712;0.01814485277406447;27
26;6.229.557.476.043.700;0.10208006656122588;0.11582145690917969;0.008659261774847679;gini;30;sqrt;500;{'criterion': 'gini', 'max_depth': 30, 'max_features': 'sqrt', 'n_estimators': 500};0.6040609137055838;0.6192893401015228;0.6015228426395939;0.6548223350253807;0.6218274111675127;0.6065989847715736;0.5862944162436549;0.5736040609137056;0.6446700507614214;0.5812182741116751;0.5939086294416244;0.631979695431472;0.6142131979695431;0.6055979643765903;0.6106870229007634;0.6208651399491094;0.6081424936386769;0.6157760814249363;0.6132315521628499;0.6005089058524173;0.6005089058524173;0.6055979643765903;0.648854961832061;0.6157760814249363;0.6335877862595419;0.6125258004934061;0.01934465601546186;29
30;62.232.513.523.101.800;0.13564933696134587;0.11544456481933593;0.009633139961779166;gini;30;log2;500;{'criterion': 'gini', 'max_depth': 30, 'max_features': 'log2', 'n_estimators': 500};0.6040609137055838;0.6192893401015228;0.6015228426395939;0.6548223350253807;0.6218274111675127;0.6065989847715736;0.5862944162436549;0.5736040609137056;0.6446700507614214;0.5812182741116751;0.5939086294416244;0.631979695431472;0.6142131979695431;0.6055979643765903;0.6106870229007634;0.6208651399491094;0.6081424936386769;0.6157760814249363;0.6132315521628499;0.6005089058524173;0.6005089058524173;0.6055979643765903;0.648854961832061;0.6157760814249363;0.6335877862595419;0.6125258004934061;0.01934465601546186;29
35;9.037.857.837.677.000;0.3414717795637706;0.19011474609375;0.01954160925813851;entropy;10;sqrt;1000;{'criterion': 'entropy', 'max_depth': 10, 'max_features': 'sqrt', 'n_estimators': 1000};0.5862944162436549;0.6091370558375635;0.6192893401015228;0.6472081218274112;0.631979695431472;0.6091370558375635;0.5812182741116751;0.583756345177665;0.649746192893401;0.5989847715736041;0.5989847715736041;0.6243654822335025;0.6192893401015228;0.6361323155216285;0.6157760814249363;0.6132315521628499;0.5750636132315522;0.638676844783715;0.6157760814249363;0.5699745547073791;0.6081424936386769;0.5903307888040712;0.6437659033078881;0.6030534351145038;0.638676844783715;0.6123196548740006;0.022646032956443577;31
39;8.932.909.116.744.990;0.2593962880734419;0.19075797080993653;0.028520268524068533;entropy;10;log2;1000;{'criterion': 'entropy', 'max_depth': 10, 'max_features': 'log2', 'n_estimators': 1000};0.5862944162436549;0.6091370558375635;0.6192893401015228;0.6472081218274112;0.631979695431472;0.6091370558375635;0.5812182741116751;0.583756345177665;0.649746192893401;0.5989847715736041;0.5989847715736041;0.6243654822335025;0.6192893401015228;0.6361323155216285;0.6157760814249363;0.6132315521628499;0.5750636132315522;0.638676844783715;0.6157760814249363;0.5699745547073791;0.6081424936386769;0.5903307888040712;0.6437659033078881;0.6030534351145038;0.638676844783715;0.6123196548740006;0.022646032956443577;31
40;14.560.313.510.894.700;0.04187135865854254;0.025408153533935548;0.007080364546539393;entropy;20;sqrt;100;{'criterion': 'entropy', 'max_depth': 20, 'max_features': 'sqrt', 'n_estimators': 100};0.6091370558375635;0.6065989847715736;0.6142131979695431;0.6370558375634517;0.6294416243654822;0.6116751269035533;0.5761421319796954;0.5888324873096447;0.6548223350253807;0.583756345177665;0.6065989847715736;0.6421319796954315;0.6243654822335025;0.6157760814249363;0.6132315521628499;0.6208651399491094;0.6030534351145038;0.6157760814249363;0.5674300254452926;0.6081424936386769;0.6132315521628499;0.5826972010178118;0.6513994910941476;0.6106870229007634;0.6208651399491094;0.6123170715955619;0.021164769269440796;33
44;15.351.638.221.740.700;0.07788423494408434;0.0288478946685791;0.010135833991907959;entropy;20;log2;100;{'criterion': 'entropy', 'max_depth': 20, 'max_features': 'log2', 'n_estimators': 100};0.6091370558375635;0.6065989847715736;0.6142131979695431;0.6370558375634517;0.6294416243654822;0.6116751269035533;0.5761421319796954;0.5888324873096447;0.6548223350253807;0.583756345177665;0.6065989847715736;0.6421319796954315;0.6243654822335025;0.6157760814249363;0.6132315521628499;0.6208651399491094;0.6030534351145038;0.6157760814249363;0.5674300254452926;0.6081424936386769;0.6132315521628499;0.5826972010178118;0.6513994910941476;0.6106870229007634;0.6208651399491094;0.6123170715955619;0.021164769269440796;33
48;1.614.695.634.841.910;0.11422070013519053;0.029244251251220703;0.009546953950516784;entropy;20;sqrt;100;{'criterion': 'entropy', 'max_depth': 20, 'max_features': 'sqrt', 'n_estimators': 100};0.6091370558375635;0.6065989847715736;0.6142131979695431;0.6370558375634517;0.6294416243654822;0.6116751269035533;0.5761421319796954;0.5888324873096447;0.6548223350253807;0.583756345177665;0.6065989847715736;0.6421319796954315;0.6243654822335025;0.6157760814249363;0.6132315521628499;0.6208651399491094;0.6030534351145038;0.6157760814249363;0.5674300254452926;0.6081424936386769;0.6132315521628499;0.5826972010178118;0.6513994910941476;0.6106870229007634;0.6208651399491094;0.6123170715955619;0.021164769269440796;33
52;2.201.443.243.026.730;0.719353965890104;0.039785728454589844;0.017178133457171733;entropy;20;log2;100;{'criterion': 'entropy', 'max_depth': 20, 'max_features': 'log2', 'n_estimators': 100};0.6091370558375635;0.6065989847715736;0.6142131979695431;0.6370558375634517;0.6294416243654822;0.6116751269035533;0.5761421319796954;0.5888324873096447;0.6548223350253807;0.583756345177665;0.6065989847715736;0.6421319796954315;0.6243654822335025;0.6157760814249363;0.6132315521628499;0.6208651399491094;0.6030534351145038;0.6157760814249363;0.5674300254452926;0.6081424936386769;0.6132315521628499;0.5826972010178118;0.6513994910941476;0.6106870229007634;0.6208651399491094;0.6123170715955619;0.021164769269440796;33
2;4.949.031.782.150.260;0.3641826563589031;0.11223943710327149;0.014602249888250455;gini;10;sqrt;500;{'criterion': 'gini', 'max_depth': 10, 'max_features': 'sqrt', 'n_estimators': 500};0.5862944162436549;0.631979695431472;0.6192893401015228;0.6472081218274112;0.631979695431472;0.6218274111675127;0.5736040609137056;0.616751269035533;0.6548223350253807;0.6116751269035533;0.5989847715736041;0.616751269035533;0.6040609137055838;0.6055979643765903;0.6183206106870229;0.6106870229007634;0.5750636132315522;0.6412213740458015;0.6005089058524173;0.5623409669211196;0.5877862595419847;0.5750636132315522;0.6335877862595419;0.6208651399491094;0.6564885496183206;0.6121104093204686;0.02514535339854678;37
6;5.128.234.510.421.750;0.522657973918877;0.11824470520019531;0.016386977182567097;gini;10;log2;500;{'criterion': 'gini', 'max_depth': 10, 'max_features': 'log2', 'n_estimators': 500};0.5862944162436549;0.631979695431472;0.6192893401015228;0.6472081218274112;0.631979695431472;0.6218274111675127;0.5736040609137056;0.616751269035533;0.6548223350253807;0.6116751269035533;0.5989847715736041;0.616751269035533;0.6040609137055838;0.6055979643765903;0.6183206106870229;0.6106870229007634;0.5750636132315522;0.6412213740458015;0.6005089058524173;0.5623409669211196;0.5877862595419847;0.5750636132315522;0.6335877862595419;0.6208651399491094;0.6564885496183206;0.6121104093204686;0.02514535339854678;37
8;13.191.324.710.845.900;0.11848281704921479;0.02645613670349121;0.00728095675310897;gini;20;sqrt;100;{'criterion': 'gini', 'max_depth': 20, 'max_features': 'sqrt', 'n_estimators': 100};0.583756345177665;0.5761421319796954;0.5989847715736041;0.649746192893401;0.6116751269035533;0.5736040609137056;0.5862944162436549;0.6116751269035533;0.6649746192893401;0.6142131979695431;0.5964467005076142;0.6598984771573604;0.6243654822335025;0.6106870229007634;0.6463104325699746;0.5776081424936387;0.6005089058524173;0.6132315521628499;0.6081424936386769;0.6081424936386769;0.5928753180661578;0.5826972010178118;0.6234096692111959;0.6234096692111959;0.6615776081424937;0.6120150863460819;0.02666903487538576;39
